"Longitude","Latitude","SiteID","year","S","N","logS","logN","p1","p2","p3","p4","predS","predN","predlogS","predlogN"
-91.6667,41.9833,"L12306",109,46,6057,1.66275783168157,3.7822575736633,0.998885592408,0.978984980259,0.998884091235,0.978985087926,38.4449496896287,35841.1625406336,1.57602426193246,3.66873850303303
-93.5667,42,"L12310",109,43,20274,1.63346845557959,4.30693944215854,0.999745195694,0.256148010637,0.999743560641,0.256165792891,39.6863522889963,62925.2661600069,1.5697613096742,3.63259646062317
-86.4167,42.0167,"L12316",109,42,8505,1.6232492903979,3.92967431794859,0.999326386191,0.512312263145,0.999323905663,0.51232063935,40.0429742194552,37044.3943030777,1.59325736320736,3.87639138766517
-88.7667,42.0333,"L12322",109,36,6524,1.55630250076729,3.81451395236824,0.999237026386,0.979922805184,0.999231033843,0.979925401089,39.3067235750741,32503.3650376684,1.57529206351827,3.74932734005478
-93.9,42.0333,"L12324",109,45,9279,1.65321251377534,3.96750117472284,0.999339564778,0.671981014762,0.999337929193,0.671984593007,39.5144508905189,61747.6911720423,1.56599311210853,3.63650305380196
-97.4167,42.0333,"L12326",109,30,8103,1.47712125471966,3.90864583890711,0.999526790567,0.0473938354767,0.999515101515,0.0474393831187,35.8575350098663,65342.8201847903,1.52758108109792,3.58114785494889
-71.6667,42.05,"L12328",109,44,8479,1.64345267648619,3.92834463526486,0.999285832085,0.98592603833,0.999283931952,0.985926294804,47.5338780571433,17679.0761969888,1.67167545437142,3.925562323567
-82.8667,42.0667,"L12333",109,56,30474,1.7481880270062,4.48392946321224,0.999782425202,0.923353830538,0.999782098196,0.92335429762,38.3930338391272,15999.3212506922,1.57418321527959,3.83556803511746
-83.25,42.0667,"L12334",109,48,21455,1.68124123737559,4.33152851886869,0.999728392996,0.130333854461,0.999727501944,0.130336973947,39.890134322055,24169.4983364401,1.58830056665925,3.83021843424086
-88.1333,42.0667,"L12336",109,37,3062,1.56820172406699,3.48600518636224,0.99807666678,0.948456572652,0.99807050736,0.948457816548,41.3763344348833,35725.0695310477,1.59794970597617,3.76976971402858
-70.65,42.0833,"L12338",109,48,5906,1.68124123737559,3.77129344262906,0.99879289303,0.984422714316,0.998791788191,0.984422753381,49.3907931554734,25809.684590612,1.6848323360284,3.96174922932508
-80.0333,42.0833,"L12342",109,37,2673,1.56820172406699,3.42699895875654,0.997737977095,0.868975410393,0.997731764127,0.86897758923,39.582286852179,15933.693422848,1.59341037715105,3.84467159600658
-84.0333,42.0833,"L12343",109,42,12550,1.6232492903979,4.09864372581706,0.999570444636,0.862256089654,0.999568232998,0.862263473462,38.811360191114,21283.3292971199,1.58032457617934,3.83437017564761
-72.8333,42.1,"L12345",109,40,7382,1.60205999132796,3.86817404085964,0.999250474535,0.105159571686,0.999247105338,0.105164100354,39.1479989381032,14323.5628400166,1.59252970693453,3.53927187954925
-78.4833,42.1,"L12346",109,37,2731,1.56820172406699,3.43632170013973,0.997795303948,0.849697583558,0.997789106154,0.849700134691,38.8325336919644,13099.7683429384,1.56746675613133,3.71097295865079
-79.2167,42.1,"L12347",109,39,6674,1.5910646070265,3.82438620231877,0.999182050712,0.939416509178,0.999178086816,0.939419643728,38.3892670084011,12948.1844091963,1.57079611469735,3.72719050149084
-72.5167,42.1167,"L12352",109,34,7701,1.53147891704226,3.88654712339111,0.999413319938,0.937246479484,0.999406033955,0.93726415196,45.1560042894497,14328.5237089163,1.654182262198,3.95955127552635
-76.35,42.1167,"L12353",109,33,4136,1.51851393987789,3.61658053008589,0.998828235604,0.871117888107,0.998817658065,0.871136751864,38.8034519695382,22695.3442014533,1.58776260264572,3.7396182694289
-77,38.87,"L12360",109,62,19520,1.79239168949825,4.29047981333067,0.999593522139,0.998618651429,0.999593350799,0.998618652277,51.585768187531,34946.1782143723,1.7057742571928,4.07959740838128
-92.3333,38.8833,"L12372",109,63,22739,1.79934054945358,4.3567713616696,0.99965237651,0.818385220551,0.999652233259,0.818385307832,50.9775171010408,91916.0490779516,1.70307214793739,3.96794805186825
-75.9,38.9,"L12375",109,57,12351,1.75587485567249,4.09170212171715,0.999375161938,0.000756944357787,0.999374839049,0.000756945032302,56.2785661193529,32055.5826465539,1.73275737063352,4.23073041692882
-94.85,38.9167,"L12381",109,29,1591,1.46239799789896,3.20167017964658,0.996869927533,0.808244560508,0.996844767048,0.808265245965,49.414021511547,128780.491505117,1.67452440135296,3.95605419803514
-98.5667,38.9333,"L12388",109,41,8259,1.61278385671974,3.91692746611299,0.999322642274,0.776075460288,0.999319780637,0.776082945733,45.2687327309441,88711.0274190169,1.65197696773505,4.30838266993136
-114.1167,38.9333,"L12389",109,32,2916,1.50514997831991,3.46478751964594,0.998292361312,0.2295137169,0.998278787135,0.229537185248,28.3592343883358,12324.4211444432,1.46571199948917,3.33456844910231
-94.4167,31.95,"L12391",109,64,17280,1.80617997398389,4.23754373814287,0.999515019692,0.0299887187343,0.99951489495,0.0299887257482,62.6390846747651,74519.1208522585,1.78849174513983,4.07717262076745
-102.0333,31.95,"L12392",109,66,12806,1.81954393554187,4.10741349748815,0.999289695807,0.858936057762,0.99928960024,0.858936066374,56.8030166556428,33527.7936918221,1.72474078993897,3.89586179978416
-85.0833,32,"L12394",109,68,70593,1.83250891270624,4.84876163855755,0.999894922413,2.45734462452e-07,0.999894852434,2.4573482253e-07,62.3314655741174,70648.6481110135,1.8026448671163,3.91538503994825
-81.1,32.0833,"L12401",109,73,14039,1.86332286012046,4.14733617403674,0.999282282852,0.489494498825,0.999282250516,0.489494501031,71.3533871712987,75965.9153145191,1.87260985397745,4.21166297217721
-104.5,32.1667,"L12409",109,72,2881,1.85733249643127,3.45954325828041,0.995372630395,0.0772634091803,0.995372626084,0.0772634091806,55.2798043901391,-466.474506233586,1.72463656345037,3.481053160661
-80.75,32.2,"L12410",109,70,13628,1.84509804001426,4.13443212489584,0.999292421378,0.729714803417,0.999292371333,0.729714807524,71.4967247873162,79393.6237525393,1.86683041779786,4.2070895559934
-81,29.02,"L12412",109,57,11095,1.75587485567249,4.04512730656803,0.999292526208,0.161678110684,0.999292217161,0.161678198317,61.8443081821041,16154.8058135756,1.79174924579163,4.00483721471866
-101.4167,32.25,"L12415",109,65,4094,1.81291335664286,3.61214783832649,0.99732743416,0.00669183838654,0.997327380192,0.00669183839893,58.4509381007847,54934.272852743,1.74095165975884,3.95693098111938
-111.25,32.25,"L12417",109,59,3685,1.77085201164214,3.56643749219507,0.997300462984,0.926760774673,0.997300311111,0.926760775567,74.2879943099678,66001.3492751596,1.86504246708745,3.8670308883782
