Longitude,Latitude,SiteID,year,S,N,logS,logN,p1,p2,p3,p4,predS,predN,predlogS,predlogN
-123.9615249,40.4150917,14006,2009,55,577,1.740362689,2.761175813,0.974742511,0.11892869,0.974742496,0.11892869,48.20090367,494.9038902,1.655900614,2.680589595
-122.9409709,39.5232837,14011,2009,60,631,1.77815125,2.800029359,0.974824488,0.331574487,0.974824491,0.331574487,43.89298096,558.4085669,1.623032006,2.684347606
-121.7340849,39.2754327,14012,2009,37,1191,1.568201724,3.075911761,0.993960964,0.471847795,0.993955602,0.471848371,41.51335447,926.8562711,1.594757114,2.957988729
-123.5854569,38.8035918,14014,2009,48,832,1.681241237,2.920123326,0.986857167,0.003059969,0.986856899,0.003059969,46.0616285,613.5599052,1.657075657,2.772949532
-121.7519384,38.0878897,14016,2009,14,540,1.146128036,2.73239376,0.995700508,0.877299134,0.995160189,0.878838067,38.50406623,1071.092759,1.573022593,3.038826232
-119.8362579,38.3432387,14018,2009,43,302,1.633468456,2.480006943,0.956579902,0.629851567,0.956579821,0.629851567,44.05550456,441.2423227,1.636430687,2.663119585
-120.860951,37.5947824,14021,2009,36,1766,1.556302501,3.246990699,0.996395394,0.903245998,0.996388138,0.903246932,37.62063658,1069.862455,1.556075184,3.017826027
-119.6302109,37.3670857,14022,2009,58,836,1.763427994,2.922206277,0.983338843,0.322532277,0.983338828,0.322532277,51.82454356,694.1099196,1.7224503,2.848933064
-118.0220022,37.1720925,14023,2009,10,92,1,1.963787827,0.972817419,0.776280814,0.969908925,0.778106463,36.20298169,430.9339003,1.519372642,2.450137169
-120.5305939,35.8086777,14032,2009,35,1061,1.544068044,3.025715384,0.993498006,0.788717772,0.993490258,0.788718436,38.48042338,893.865216,1.547114937,2.882134042
-116.9158549,35.3017657,14036,2009,17,105,1.230448921,2.021189299,0.948382312,0.700685427,0.948119311,0.700696556,15.28186553,525.9430506,1.277781989,2.575990157
-116.8011859,33.3988807,14047,2009,55,713,1.740362689,2.85308953,0.980878132,0.612468897,0.980878113,0.612468897,44.83948713,682.1166163,1.638409894,2.806730128
-114.7292329,33.4048617,14049,2009,29,1423,1.462397998,3.1532049,0.996414907,0.842563872,0.996389333,0.842578103,26.43007071,794.4860822,1.397338974,2.798768599
-116.23272,32.903954,14051,2009,31,259,1.491361694,2.413299764,0.965743438,0.873825718,0.965738031,0.873825727,32.08131285,440.2247055,1.483456372,2.489772704
-120.5194684,36.2251687,14053,2009,46,733,1.662757832,2.865103975,0.985361068,0.012167464,0.985360692,0.012167464,46.41749432,868.340266,1.63918754,2.839156633
-119.3047559,36.6315997,14054,2009,42,1141,1.62324929,3.057285644,0.992543143,0.137178694,0.992541361,0.137178717,39.49387311,906.1347981,1.597212241,2.985118063
-117.800197,35.6076917,14059,2009,18,384,1.255272505,2.584331224,0.990176358,0.871770177,0.989902789,0.871899631,25.03028792,491.9582216,1.383308479,2.534617156
-115.4289179,35.5408027,14062,2009,14,98,1.146128036,1.991226076,0.957151568,0.874688169,0.956381131,0.874744233,20.92145021,451.5737134,1.342483211,2.521559615
-122.8668979,38.0453507,14071,2009,64,1200,1.806179974,3.079181246,0.988109432,0.003449767,0.988109416,0.003449767,55.94796027,660.8295969,1.752569131,2.756930245
-123.8016231,41.2017931,14074,2009,48,428,1.681241237,2.631443769,0.968617808,0.417808983,0.968617763,0.417808983,48.24304224,419.7490358,1.670198024,2.598936593
-120.6326679,39.7846537,14078,2009,46,390,1.662757832,2.591064607,0.966410769,0.149082633,0.966410696,0.149082633,48.09134469,404.3122417,1.671965634,2.70305048
-122.2390059,39.7633427,14080,2009,31,1468,1.491361694,3.166726056,0.996248183,0.127649244,0.99623035,0.127654968,37.84531405,838.9825941,1.564682788,2.868534196
-123.5822599,39.1612277,14081,2009,53,476,1.72427587,2.677606953,0.968920271,0.012099155,0.968920255,0.012099155,50.16559056,681.2572296,1.683902757,2.797935841
-119.8237379,38.7754607,14082,2009,62,585,1.792391689,2.767155866,0.970910747,0.296620808,0.970910742,0.296620808,47.15891289,610.7192296,1.655634737,2.780832262
-122.5909499,37.9851247,14083,2009,53,590,1.72427587,2.770852012,0.976648853,0.019878193,0.976648834,0.019878193,55.67760607,689.0432344,1.749708613,2.780423257
-115.8016279,33.6738577,14088,2009,12,68,1.079181246,1.832508913,0.942859151,0.466334256,0.94145958,0.466550614,19.11690627,483.1384816,1.312424991,2.525569728
-115.4847789,33.2200507,14089,2009,26,1290,1.414973348,3.11058971,0.996481594,0.371598202,0.996437418,0.371667139,29.66273898,688.0654498,1.439809502,2.698137127
-119.1943049,38.1752167,14096,2009,39,430,1.591064607,2.633468456,0.976351811,0.850698433,0.976350776,0.850698434,34.37131419,460.0779727,1.517151339,2.600243994
-122.3819302,40.5164906,14097,2009,48,632,1.681241237,2.800717078,0.981261688,0.137168807,0.981261534,0.137168807,43.0049157,642.6707549,1.604929113,2.700128127
-121.0356899,38.7202247,14098,2009,60,907,1.77815125,2.957607287,0.984332838,0.001136584,0.98433282,0.001136584,55.59287096,807.7465785,1.754599616,2.940601897
-118.1049598,34.2581397,14104,2009,31,232,1.491361694,2.365487985,0.960207743,0.269537696,0.960203466,0.269537704,26.19020307,437.0429867,1.444087486,2.589381464
-116.7862853,33.1990869,14106,2009,51,721,1.707570176,2.857935265,0.982915646,0.83271405,0.982915559,0.83271405,43.57904876,668.9210842,1.625867963,2.781260648
-121.6956939,36.4530827,14108,2009,57,858,1.755874856,2.933487288,0.984246818,0.015442675,0.98424679,0.015442675,51.33606838,593.6288148,1.696429434,2.768628781
-117.9406162,34.5208799,14112,2009,36,301,1.556302501,2.478566496,0.965774063,0.912269274,0.965772803,0.912269274,28.43945006,569.7482809,1.453016523,2.662815828
-118.0989909,36.5074727,14116,2009,28,164,1.447158031,2.214843848,0.94412482,0.093977411,0.944118718,0.093977415,42.2237062,240.4575863,1.553857014,2.324032723
-118.6547779,36.4664267,14117,2009,66,567,1.819543936,2.753583059,0.96700409,0.30859669,0.967004086,0.30859669,54.23238764,413.8010724,1.740781081,2.627553984
-119.0450209,34.7383427,14118,2009,55,837,1.740362689,2.922725458,0.984467499,0.537600408,0.984467456,0.537600408,44.75308785,672.1737134,1.63164102,2.757786146
-118.2071003,35.5494581,14128,2009,57,671,1.755874856,2.82672252,0.978305552,0.145306679,0.978305537,0.145306679,37.7259814,508.819534,1.530465077,2.602180687
-118.9088976,36.8189424,14132,2009,52,376,1.716003344,2.575187845,0.95828301,0.595717255,0.958283003,0.595717255,55.100445,429.3253727,1.763956393,2.642445094
-116.2002339,32.6119997,14137,2009,31,349,1.491361694,2.542825427,0.977001695,0.47340555,0.976992929,0.473405663,44.06552921,619.6052934,1.611115255,2.665696816
-120.5084609,35.3183817,14138,2009,29,538,1.462397998,2.730782276,0.987969619,0.713990101,0.987947527,0.713991872,39.72039419,790.9301447,1.560342798,2.867356775
-119.7298739,35.0931687,14140,2009,17,752,1.230448921,2.876217841,0.996168108,0.743710764,0.9959051,0.744750383,45.03528675,807.335775,1.630528772,2.852015674
-119.3299456,34.8339402,14142,2009,41,357,1.612783857,2.552668216,0.96759798,0.512982817,0.967597645,0.512982818,48.00403385,703.9978175,1.670237,2.819157959
-122.0649918,39.5508277,14148,2009,27,1532,1.431363764,3.185258765,0.997005892,0.570114132,0.996970194,0.570180399,40.41540676,960.4500329,1.586462325,2.96351961
-115.5356439,32.9416587,14150,2009,25,2450,1.397940009,3.389166084,0.998462125,0.50121114,0.998420652,0.501498653,34.35189563,785.0910101,1.508305646,2.777007
-120.3368295,41.2351468,14151,2009,41,941,1.612783857,2.973589623,0.990792457,0.8088357,0.990790582,0.808835722,36.39951108,570.4899916,1.530564251,2.695002864
-120.9253159,38.7687607,14153,2009,63,941,1.799340549,2.973589623,0.984088555,0.954201823,0.984088556,0.954201823,55.21697384,709.2721475,1.755872909,2.891847287
-121.1597352,37.5141365,14155,2009,44,1507,1.643452676,3.178113252,0.994401983,0.975361597,0.99440056,0.975361602,35.6392588,1009.047864,1.540754762,2.989347646
-119.8035199,37.7472667,14156,2009,58,540,1.763427994,2.73239376,0.97038603,0.287655588,0.970386026,0.287655588,53.18581695,619.3160599,1.725859156,2.775958161
-120.4258218,39.6153759,14158,2009,47,692,1.672097858,2.840106094,0.983790749,0.605592294,0.983790492,0.605592294,46.72717615,390.4134918,1.661461213,2.720326382
-121.6093062,39.4978958,14159,2009,37,1297,1.568201724,3.112939976,0.99456363,0.284740702,0.994558079,0.284741315,42.46092666,663.2120172,1.618718729,2.823528085
-123.3982919,39.5664857,14160,2009,54,593,1.73239376,2.773054693,0.976225087,0.344552127,0.976225073,0.344552127,45.49196537,595.4697297,1.638320862,2.730377993
-123.0337989,40.6589377,14164,2009,51,389,1.707570176,2.589949601,0.961223407,0.001138942,0.961223392,0.001138942,51.72792515,600.9925522,1.703422221,2.68981959
-120.3753129,41.7332787,14165,2009,50,598,1.698970004,2.776701184,0.97875244,0.278864658,0.978752362,0.278864658,37.70206191,584.8155035,1.543030164,2.699578428
-121.8916067,41.9998861,14166,2009,44,3504,1.643452676,3.544564097,0.997982305,0.199255072,0.997980325,0.199255529,46.50802044,652.0686881,1.654249455,2.743231812
-123.5376359,41.3028427,14167,2009,44,409,1.643452676,2.611723308,0.970322623,0.751280525,0.970322447,0.751280525,46.78282333,383.2725548,1.66484915,2.608835398
-122.0111142,41.8224004,14168,2009,72,1550,1.857332496,3.190331698,0.990017691,0.012393481,0.990017688,0.012393481,46.55803255,662.7450185,1.65506225,2.759862251
-122.1355519,41.2323207,14169,2009,50,539,1.698970004,2.731588765,0.975635854,0.636338718,0.975635798,0.636338718,54.13472496,494.069488,1.739033344,2.708610622
-122.1464708,37.8183531,14172,2009,54,632,1.73239376,2.800717078,0.978139217,0.973745401,0.97813919,0.973745401,52.29776091,874.6433967,1.708711224,2.926675251
-123.4877394,41.3813232,14174,2009,42,577,1.62324929,2.761175813,0.982269596,0.873695015,0.982268857,0.873695016,47.05898356,396.0944009,1.666853485,2.618093135
-122.0499734,41.4000979,14175,2009,54,394,1.73239376,2.595496222,0.958796016,0.097649967,0.958796013,0.097649967,51.35290524,565.6827106,1.711938019,2.746064597
-123.6037721,40.1732694,14178,2009,63,659,1.799340549,2.818885415,0.97464448,0.362754563,0.97464448,0.362754563,47.57056345,514.2779613,1.660975425,2.701498868
-122.6387259,40.0279597,14179,2009,47,904,1.672097858,2.95616843,0.988488736,0.759336159,0.988488326,0.75933616,55.01479406,450.1030478,1.744926785,2.577549774
-120.623502,40.2017613,14181,2009,58,691,1.763427994,2.839478047,0.978644151,0.183327463,0.978644143,0.183327463,46.31210526,686.0548649,1.657408953,2.799195029
-123.484892,39.6878368,14182,2009,54,386,1.73239376,2.586587305,0.957619543,0.010718112,0.957619544,0.010718112,46.30854281,578.0496876,1.647713474,2.722345976
